Compound_Variability	compound	lower_4	upper_4	range_4	lower_15	upper_15	range_15	lower_20	upper_20	range_20	four_fifteen	four_twenty	fifteen_twenty
Compound_Variability	cpd_lys-L[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_lys-L[p]	9.999999999999962e-06	0.02	0.01999	9.999999999999962e-06	0.02	0.01999	9.99999999999998e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL < 20CL | 04CU == 20CU | 04CR == 20CR	15CL < 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_lystrna[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_mal-L[c]	9.999999999999997e-06	5.137269383332877e-05	4.13726938333e-05	9.999999999999997e-06	0.00010011257382045931	9.01125738205e-05	9.999999999999997e-06	0.02000000000000334	0.01999	04CL == 15CL | 15CU < 04CU | 04CR < 15CR	04CL == 20CL | 20CU < 04CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_mal-L[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_mal-L[p]	9.999999999999997e-06	0.020000000000003085	0.01999	9.999999999999997e-06	0.02000000000000255	0.01999	9.999999999999997e-06	0.020000000000003314	0.01999	04CL == 15CL | 15CU < 04CU | 15CR < 04CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_malACP[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02000000000000004	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_malcoa[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_malt[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_malt[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_malt[p]	9.999999999999997e-06	0.020000000000003085	0.01999	9.999999999999997e-06	0.02000000000000255	0.01999	9.999999999999997e-06	0.020000000000003314	0.01999	04CL == 15CL | 15CU < 04CU | 15CR < 04CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_malthp[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_malthp[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_malthp[p]	9.999999999999997e-06	0.020000000000003085	0.01999	9.999999999999997e-06	0.02000000000000255	0.01999	9.999999999999997e-06	0.020000000000003314	0.01999	04CL == 15CL | 15CU < 04CU | 15CR < 04CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_malthx[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_malthx[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_maltpt[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_maltpt[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_malttr[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_malttr[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_maltttr[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_maltttr[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_maltttr[p]	9.999999999999997e-06	0.020000000000003085	0.01999	9.999999999999997e-06	0.02000000000000255	0.01999	9.999999999999997e-06	0.020000000000003314	0.01999	04CL == 15CL | 15CU < 04CU | 15CR < 04CR	04CL == 20CL | 04CU < 20CU | 04CR < 20CR	15CL == 20CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_man1p[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.020000000000000028	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU < 15CU | 04CR < 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 20CU < 15CU | 20CR < 15CR
Compound_Variability	cpd_man6p[c]	9.999999999999997e-06	0.020000000000003012	0.01999	9.999999999999997e-06	0.02000000000000296	0.01999	9.999999999999997e-06	0.020000000000002766	0.01999	04CL == 15CL | 15CU < 04CU | 15CR < 04CR	04CL == 20CL | 20CU < 04CU | 20CR < 04CR	15CL == 20CL | 20CU < 15CU | 20CR < 15CR
Compound_Variability	cpd_mercppyr[c]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
Compound_Variability	cpd_met-L[c]	0.00020615737385636107	0.02	0.0197938426261	0.005027131315004427	0.02	0.014972868685	0.002373521793509327	0.020000000000000028	0.0176264782065	04CL < 15CL | 04CU == 15CU | 15CR < 04CR	04CL < 20CL | 04CU < 20CU | 20CR < 04CR	20CL < 15CL | 15CU < 20CU | 15CR < 20CR
Compound_Variability	cpd_met-L[e]	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	9.999999999999997e-06	0.02	0.01999	04CL == 15CL | 04CU == 15CU | 04CR == 15CR	04CL == 20CL | 04CU == 20CU | 04CR == 20CR	15CL == 20CL | 15CU == 20CU | 15CR == 20CR
