carbNorm_Comparisons	ID	lower_4	upper_4	carbNorm_4	lower_15	upper_15	carbNorm_15	lower_20	upper_20	carbNorm_20	four_fifteen	four_twenty	fifteen_twenty
carbNorm_Comparisons	PMANM	-0.0	0.0	0	-0.0	0.0	0	-0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PMCOAt	-0.0	-0.0	0	-0.0	-0.0	0	-0.0	-0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PMDPHT	1.1e-05	1.1e-05	1.1e-05	2.6e-05	2.6e-05	2.6e-05	9e-06	9e-06	9e-06	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PMPK	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PNTK	1.4e-05	1.4e-05	1.4e-05	3.1e-05	3.1e-05	3.1e-05	1.1e-05	1.1e-05	1.1e-05	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPA	0.136548	0.136548	0.136548	0.313867	0.313867	0.313867	0.114618	0.114618	0.114618	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPAtNa	-0.0	0.0	0	-0.0	0.0	0	-0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PPBNGS	4.5e-05	4.5e-05	4.5e-05	0.000103	0.000103	0.000103	3.8e-05	3.8e-05	3.8e-05	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPC	0.083829	0.083829	0.083829	0.192687	0.192687	0.192687	0.070366	0.070366	0.070366	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPCDC	1.4e-05	1.4e-05	1.4e-05	3.1e-05	3.1e-05	3.1e-05	1.1e-05	1.1e-05	1.1e-05	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPCK	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PPM	-0.011338	-0.011338	-0.011338	-0.000389	-0.000389	-0.000389	-0.000142	-0.000142	-0.000142	15C < 4C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPM2	0.011169	0.011169	0.011169	-0.0	0.0	0	-0.0	0.0	0	15C < 4C, one zero	20C < 4C, one zero	15C == 20C, fixed zero
carbNorm_Comparisons	PPNCL	1.4e-05	1.4e-05	1.4e-05	3.1e-05	3.1e-05	3.1e-05	1.1e-05	1.1e-05	1.1e-05	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPND	0.002813	0.002813	0.002813	0.006467	0.006467	0.006467	0.002362	0.002362	0.002362	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPNDH	0.003699	0.003699	0.003699	0.008502	0.008502	0.008502	0.003105	0.003105	0.003105	4C < 15C, diff values	20C < 4C, diff values	20C < 15C, diff values
carbNorm_Comparisons	PPPGFUM	-0.0	6e-06	0	0.0	1.3e-05	0	0.0	5e-06	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PPPGMEN	-0.0	6e-06	0	0.0	1.3e-05	0	0.0	5e-06	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PPPGNO3	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PPPGO	0.0	6e-06	0	0.0	0.0	0	0.0	0.0	0	4C == 15C, fixed zero	4C == 20C, fixed zero	15C == 20C, fixed zero
carbNorm_Comparisons	PPS	0.099967	0.099967	0.099967	-0.0	0.0	0	0.0	0.0	0	15C < 4C, one zero	20C < 4C, one zero	15C == 20C, fixed zero
