gene	4C Late Replicate A	4C Late Replicate B	15C Replicate A	15C Replicate B	20C Replicate A	20C Replicate B
sps_RS01640	73.15759724	71.77751941	39.36007074	39.04168221	44.0761839	70.95489393
sps_RS01645	12.86204787	11.51351018	6.73643435	7.319680509	15.11666969	0.608952846
sps_RS01650	12.83782017	8.711351593	8.828764333	10.09922235	11.48450798	21.88703935
sps_RS01665	25.06648221	18.30969545	21.84446781	19.80057722	38.87540713	33.18744413
sps_RS01670	104.0752409	94.82012042	38.29369407	35.91051908	50.14238709	17.31667106
sps_RS01675	16.98821116	11.817754	4.840853407	4.43817111	10.35169169	2.359185974
sps_RS01680	34.63274287	22.46056823	26.75025696	24.78542358	49.69969702	11.36691558
sps_RS01685	80.90871044	147.4115862	130.4901166	177.2243324	127.4337521	102.575691
sps_RS01690	10.19543922	7.585291368	18.35617342	17.04302962	9.060772821	27.07257583
sps_RS01695	9.639139118	3.907746087	5.048310766	8.318460815	6.902735697	13.33196236
sps_RS01700	197.7281447	190.7061708	67.89259148	52.36664385	173.3154417	73.60202749
sps_RS01705	35.761241	25.33392227	19.62741058	24.11884273	32.45801882	11.52399871
sps_RS01710	23.87573428	22.28478539	12.82808387	12.92057999	22.03427781	7.436305152
sps_RS01715	72.9353551	62.09916456	36.65492976	34.5493667	49.1151541	12.58604711
sps_RS01720	9.75929126	9.624748038	5.157442918	7.052733812	19.31554989	6.61277714
sps_RS01725	101.970231	64.0193074	38.63673237	48.57024451	54.95119006	110.4741805
sps_RS01730	283.1305889	189.6431149	227.2928867	235.7094038	227.2305967	239.2040586
sps_RS01735	4382.018373	6116.997599	4623.541694	4164.004557	4046.156487	402.3563095
sps_RS01740	187.9454555	178.4324678	163.9233622	145.6814745	243.9461433	143.0821637
sps_RS01745	161.669903	214.6774573	183.4352812	159.3874695	159.8050007	112.9579261
sps_RS01750	1040.668577	1972.388848	1133.434977	1275.036455	1260.181021	363.5635192
sps_RS01755	906.124269	1865.082824	1050.260828	1069.427661	865.5427476	276.3408248
sps_RS01760	1902.169471	2847.58409	2664.798279	2622.248764	2280.685919	749.7471849
sps_RS01765	296.910229	387.4356275	286.6155982	313.1046459	331.2814292	134.1478086
sps_RS01770	1711.114139	2069.694689	1301.096263	1154.871055	1220.968171	326.9467181
sps_RS01775	1479.69013	1648.466636	1316.31259	1190.599542	968.6147787	351.959205
sps_RS01780	5398.801015	7324.560855	3679.336172	3385.031619	3860.169332	2039.322601
sps_RS01785	2370.179147	2181.1887	1538.514521	1256.96299	1490.08227	192.6239098
sps_RS01790	940.1691541	1021.220373	1212.43718	959.6374737	1310.091176	306.7743185
sps_RS01800	1970.566997	3949.321399	2045.216917	2181.330104	3522.814113	1782.677501
sps_RS01805	4501.160654	7656.781772	2552.448931	2584.000719	3763.413271	834.727669
sps_RS01810	2709.527597	4889.452554	1413.705062	1513.660591	1998.049624	992.914833
sps_RS01815	6834.906685	8708.746598	3313.512284	3203.606904	4337.21893	734.912705
sps_RS01820	6083.030234	9201.680837	2822.758267	2875.827304	3509.907716	1796.419217
sps_RS01825	12790.49568	17617.21508	7428.274071	6406.561029	5676.770252	1786.548888
sps_RS01830	3806.503306	5281.318202	2355.389508	1788.36689	2089.559667	896.0723406
sps_RS01835	3567.942704	5980.359263	2369.981822	2065.9989	2283.785111	956.8091471
sps_RS01840	5889.624207	8945.237496	3781.801101	3400.278306	4173.731022	1828.739852
sps_RS01845	3857.425349	5541.939551	2472.299175	1793.240629	2482.77981	1531.534258
sps_RS01850	3608.289595	5220.853701	2961.213986	2155.062023	2777.856745	122.2455692
sps_RS01855	2069.48181	3097.172422	1047.085655	1070.027159	1188.417878	241.950624
sps_RS01860	2030.036414	3001.601033	964.0871974	963.1564818	1163.793934	93.84886436
sps_RS01865	7179.766759	9870.763527	3116.693761	3116.405637	4199.564745	891.4440365
sps_RS01870	6103.9843	8793.838768	3457.621034	3140.569886	4653.842453	1577.184381
sps_RS01875	4542.708845	6521.074489	3214.932702	2481.401047	4016.830121	475.2594302
sps_RS01880	3710.761213	5097.44352	1955.937012	1735.63313	2440.101903	198.0610628
sps_RS01885	5590.309149	7664.299669	3415.934621	2800.639553	4340.070487	1584.413704
sps_RS01890	5370.65077	8324.997473	3509.000277	3390.373577	3321.758942	1521.759763
sps_RS01895	5100.471891	6554.294351	2495.582437	2269.832849	2856.322342	153.5391124
sps_RS01900	3512.162627	4241.836175	2468.447203	2317.434834	2082.478663	521.9735017
sps_RS01905	2200.50268	2993.57796	1933.612327	1774.533568	1993.135335	326.3839209
sps_RS01910	1279.930926	1435.410484	801.5074266	664.6811663	786.6696682	152.6017591
sps_RS01915	4664.218346	8238.641134	3636.48387	3825.605158	4764.679378	2314.271465
sps_RS01920	4082.279655	6077.87292	2824.100809	2769.557869	3052.777309	587.8715348
sps_RS01925	3541.875315	4868.578514	2577.089747	2329.052651	2684.315702	421.2678624
sps_RS01930	4416.074874	5331.061192	3147.069637	2824.451351	3263.394967	736.9647811
sps_RS01935	2283.889096	2322.752171	1484.820181	1246.764798	1663.780098	441.6943928
sps_RS01940	30.17153599	22.49403278	18.59659653	14.71939338	34.47871022	5.459744761
sps_RS01945	35.11567344	18.66103836	42.39007884	44.18563288	27.45944242	11.57929406
sps_RS01950	13.01231417	6.421095195	12.21312504	16.1757062	15.5021034	1.217733025
sps_RS01955	67.35447761	40.59850909	150.6693861	195.4583256	86.46746831	87.62188669
sps_RS01960	136.4284513	71.40893254	255.0681831	257.9470885	194.0603162	13.66558344
sps_RS01965	353.6111845	180.7803476	336.1718441	310.9168948	323.7701407	58.99683607
sps_RS01970	4040.062365	4618.574163	1741.604512	1687.273133	2374.008896	1784.417023
sps_RS01975	136.6023048	110.0405912	137.2450086	186.8409687	82.12485547	28.16526953
sps_RS01980	191.5067925	181.9473189	183.7742501	231.2919975	122.5340173	35.21821431
sps_RS01985	98.9298493	94.70515205	81.56312637	93.38297954	88.0067708	11.02466528
sps_RS01990	65.87536899	67.53960777	65.20854001	70.65296232	51.99102179	3.89255903
sps_RS01995	58.89197185	31.90383038	44.19273898	47.36448506	57.25927423	4.73466157
sps_RS02000	98.56434772	174.9288648	155.9518119	209.5551736	164.3224698	55.30095014
sps_RS02005	640.9612161	582.5824974	937.7034679	695.7911751	795.5178776	37.91417953
sps_RS02010	154.7828	186.9819484	168.9933802	164.8109002	198.4233761	54.95558747
sps_RS02015	21.38081152	25.54249709	36.56592404	36.39739808	14.29202166	476.7356435
sps_RS02020	236.3718018	326.510346	72.63952199	81.58245282	131.1519782	21.65875975
sps_RS02030	115.4178678	72.69902336	107.5802229	82.44625311	133.578552	13.60679717
sps_RS02035	75.05447778	49.14646608	83.3810557	67.18612262	172.7645942	29.6719348
sps_RS02040	27.78053552	18.53627049	12.77610066	13.84508656	23.55051003	1.195552096
